AAVE.USD,ADA.USD,ALGO.USD,APE.USD,APT.USD,ATOM.USD,AVAX.USD,AXS.USD,BCH.USD,BNB.USD,BTC.USD,CHZ.USD,CRV.USD,DASH.USD,DOGE.USD,DOT.USD,EGLD.USD,EOS.USD,ETC.USD,ETH.USD,FIL.USD,FLOW.USD,FTM.USD,GRT.USD,HBAR.USD,ICP.USD,IMX.USD,LDO.USD,LINK.USD,LRC.USD,LTC.USD,MANA.USD,MASK.USD,MATIC.USD,MKR.USD,NEAR.USD,NEO.USD,OP.USD,PAXG.USD,QNT.USD,SAND.USD,SNX.USD,SOL.USD,THETA.USD,TRX.USD,UNI.USD,VET.USD,XLM.USD,XTZ.USD,ZIL.USD
77.44,0.352,0.244,5.0039,11.9461,12.286,17.1,9.6,131.8,301.4932,23176.69,0.1311,0.992,71.65,0.0809,6.36,48.097,1.143,20.7493,1605.2,6.48,1.17,0.429,0.1531,0.0694,5.82,1.051,3.007,7.193,0.3464,94.07,0.6275,3.838,1.2007,791.93,2.236,11.988,2.699,1805.14,126.5,0.6857,2.794,22.2164,1.127,0.0692,6.5105,0.027,0.0868,1.1387,0.0312
77.25,0.351,0.244,4.994,11.9461,12.243,17.04,9.57,132.08,301.0072,23119.31,0.1311,0.992,71.65,0.0807,6.35,48.097,1.149,20.7423,1600.64,6.46,1.17,0.4265,0.1519,0.0693,5.81,1.047,3.0,7.1607,0.3464,94.07,0.6257,3.766,1.1923,787.7688,2.236,11.988,2.699,1805.14,127.0,0.6857,2.775,22.148,1.124,0.069,6.5105,0.0269,0.0868,1.1387,0.0312
77.55,0.3523,0.245,4.9863,11.8897,12.229,17.09,9.57,131.83,301.5556,23157.84,0.1311,0.989,71.65,0.0809,6.35,48.061,1.149,20.7567,1605.19,6.46,1.17,0.4263,0.1526,0.0691,5.81,1.053,3.0,7.1804,0.3464,94.39,0.625,3.766,1.1988,787.7688,2.232,11.914,2.685,1805.14,127.1,0.6828,2.77,22.2174,1.124,0.0692,6.5003,0.027,0.0867,1.1336,0.031
77.69,0.3528,0.245,4.9863,11.8897,12.299,17.11,9.57,131.83,301.5696,23187.86,0.1311,0.996,71.56,0.0808,6.36,48.157,1.149,20.7696,1606.99,6.46,1.17,0.429,0.1532,0.0691,5.82,1.057,3.0,7.2024,0.3464,94.27,0.625,3.766,1.2009,791.55,2.244,12.064,2.685,1805.14,126.9,0.6828,2.77,22.322,1.13,0.0692,6.5003,0.027,0.0868,1.1336,0.031
77.69,0.3536,0.245,5.0197,11.9689,12.314,17.16,9.57,132.32,301.8154,23203.98,0.1311,0.997,71.83,0.081,6.37,48.345,1.149,20.8048,1608.36,6.49,1.17,0.4301,0.1533,0.0694,5.83,1.066,3.027,7.2122,0.3464,94.4,0.6301,3.766,1.2054,791.55,2.247,12.063,2.718,1805.14,127.6,0.6828,2.763,22.3373,1.134,0.0692,6.5223,0.027,0.087,1.1336,0.0312
77.66,0.3526,0.245,5.012,11.9975,12.296,17.15,9.57,132.32,301.59,23176.6,0.1311,0.996,71.66,0.0809,6.38,48.345,1.149,20.7796,1606.75,6.51,1.17,0.4301,0.1532,0.0694,5.83,1.076,3.027,7.2228,0.3493,94.09,0.6301,3.838,1.2034,791.55,2.247,12.071,2.718,1805.14,127.6,0.6828,2.763,22.274,1.134,0.0691,6.5223,0.027,0.0871,1.1377,0.0312
77.66,0.3531,0.246,5.0154,11.9975,12.323,17.15,9.57,132.32,301.8283,23203.06,0.1311,0.999,71.72,0.0811,6.39,48.345,1.149,20.8455,1609.68,6.52,1.17,0.4288,0.1537,0.0695,5.83,1.086,3.027,7.2134,0.3493,94.29,0.6303,3.944,1.2062,791.55,2.247,12.127,2.722,1805.14,127.3,0.6828,2.791,22.2932,1.134,0.069,6.5246,0.0271,0.0872,1.1377,0.0312
77.66,0.3531,0.245,5.0156,11.9975,12.319,17.17,9.57,132.32,301.6014,23190.85,0.1311,0.999,71.75,0.0809,6.37,48.384,1.1524,20.803,1609.36,6.52,1.17,0.4265,0.1536,0.0697,5.83,1.082,3.054,7.1981,0.3493,94.32,0.6303,3.944,1.206,794.1264,2.247,12.1,2.722,1805.14,127.3,0.6828,2.807,22.27,1.134,0.069,6.5357,0.0271,0.0872,1.1377,0.0312
77.66,0.3516,0.245,5.0156,11.9664,12.319,17.13,9.63,132.32,301.1895,23148.17,0.1311,0.996,71.63,0.0808,6.37,48.384,1.1524,20.7954,1607.39,6.49,1.17,0.4249,0.1534,0.0694,5.83,1.078,3.047,7.1814,0.3493,94.29,0.6303,3.944,1.2016,794.1264,2.24,12.1,2.725,1805.14,127.3,0.6828,2.819,22.3153,1.134,0.069,6.5357,0.0271,0.0872,1.1377,0.0313
77.66,0.3508,0.244,5.0156,11.8885,12.266,17.08,9.55,132.32,300.8946,23094.66,0.1311,0.991,71.23,0.0806,6.34,48.132,1.1524,20.7954,1604.0,6.45,1.17,0.4235,0.1521,0.069,5.83,1.078,3.031,7.1732,0.3493,93.94,0.6278,3.868,1.1948,794.1264,2.227,12.1,2.708,1805.14,127.3,0.6802,2.819,22.1835,1.134,0.0688,6.5357,0.0269,0.0869,1.1372,0.0311
